iter	Logloss
0	0.5849010408
1	0.5052850694
2	0.4407173139
3	0.3865050934
4	0.3445393501
5	0.3002039911
6	0.2719443805
7	0.2411183438
8	0.2168227301
9	0.1952360059
10	0.1767149009
11	0.1608471797
12	0.1467594625
13	0.1367272516
14	0.1265329659
15	0.1183175145
16	0.1100507501
17	0.1039175179
18	0.09786969551
19	0.09359556127
20	0.08859927009
21	0.08471541115
22	0.08174526863
23	0.07918955802
24	0.0752701536
25	0.07245075997
26	0.07149546964
27	0.06864089353
28	0.06699660104
29	0.06541620948
30	0.06336283608
31	0.06153038433
32	0.06038207668
33	0.05907215662
34	0.05769465916
35	0.05709277029
36	0.05586245928
37	0.0551930257
38	0.05399877535
39	0.05267873791
40	0.05178095903
41	0.05145215766
42	0.05051542874
43	0.04962043194
44	0.04861069129
45	0.04741261817
46	0.04718447097
47	0.04669424208
48	0.04623170941
49	0.04569611519
50	0.04538215183
51	0.04487443827
52	0.04413026588
53	0.04378690255
54	0.04359468582
55	0.04348822785
56	0.04278125236
57	0.04240313355
58	0.04207062847
59	0.04149582816
60	0.04122830983
61	0.04075615643
62	0.04039206111
63	0.03971921293
64	0.03937645793
65	0.03894724341
66	0.0386044684
67	0.03842279726
68	0.03802906947
69	0.03760295185
70	0.0373874145
71	0.03678898693
72	0.03651116007
73	0.035910591
74	0.03532416037
75	0.03514544251
76	0.03483850151
77	0.03442189155
78	0.03395089713
79	0.03361527384
80	0.03337095397
81	0.0329926184
82	0.03258392399
83	0.03246402977
84	0.03210725461
85	0.03186356555
86	0.03140760768
87	0.03105535341
88	0.03073587134
89	0.03033956621
90	0.03012998542
91	0.02979610842
92	0.02946298692
93	0.02908276883
94	0.02895394498
95	0.02868433251
96	0.02828221284
97	0.02792158127
98	0.0277508826
99	0.02745510444
100	0.02714116109
101	0.02708832829
102	0.02703152706
103	0.02691849381
104	0.02661691053
105	0.02649368277
106	0.02637059722
107	0.02624288609
108	0.02612977196
109	0.02583165256
110	0.02573047924
111	0.0255371882
112	0.02517589526
113	0.02495542288
114	0.02478194179
115	0.02454870624
116	0.02439667938
117	0.02416133174
118	0.02406351204
119	0.02379431789
120	0.02344119714
121	0.02322992711
122	0.02305882233
123	0.02273011369
124	0.02250601459
125	0.02240296008
126	0.02222759604
127	0.02204428328
128	0.02187352379
129	0.02180327756
130	0.02167146494
131	0.0214742319
132	0.02128921071
133	0.02117829849
134	0.02097099154
135	0.02080733477
136	0.02041568546
137	0.02032284936
138	0.02017341099
139	0.01995242386
140	0.01973731797
141	0.01962817711
142	0.01951949312
143	0.01948354244
144	0.01930267951
145	0.01915101806
146	0.01894820869
147	0.01886247352
148	0.01870946282
149	0.01861103751
150	0.01851168372
151	0.01838354424
152	0.01818833275
153	0.01811528482
154	0.01799658125
155	0.01784189338
156	0.01775013953
157	0.01769051072
158	0.01752610827
159	0.01739413991
160	0.01714576316
161	0.01704338859
162	0.01695268939
163	0.01673738411
164	0.01666682796
165	0.01655575929
166	0.01644870186
167	0.01626238566
168	0.01598151739
169	0.01582972772
170	0.01581368981
171	0.01577939645
172	0.01568534948
173	0.0155470969
174	0.01539971533
175	0.0153663971
176	0.0152157238
177	0.01497480426
178	0.01478149926
179	0.01469282429
180	0.01459382535
181	0.01449773608
182	0.01441139817
183	0.01433035413
184	0.01417325618
185	0.01391364672
186	0.01372813813
187	0.01362946709
188	0.01361271976
189	0.01358065454
190	0.01351091956
191	0.0135109197
192	0.01339917748
193	0.01333993412
194	0.01312359748
195	0.01303104241
196	0.01289093672
197	0.01283931447
198	0.01273519963
199	0.01273517938
